WILL_LEARN,MODEL_ADAPTS,The model will learn from its mistakes and be able to more accurately guess whether the email was about hockey or baseball.,6,46330
COND_LEARN,"MODEL_ADAPTS, FEEDBACK","I feel like if it can learn from the mistakes and recognize the keywords I selected, then it will likely do a slightly better job if similar keywords are encountered in the e-mails.",5,19339
WILL_LEARN,MODEL_ADAPTS,It will try to correct itself based on the number it predicted incorrectly the first time.,5,43339
x,x,There are words are out of topic.,4,69120
x,"LOW_QUAL, NEEDS_FEEDBACK",It was highlighting mostly irrelevant words in each email. There were a number of words in each one that would have help identify the sport much more effectively.,3,82249
x,LOW_QUAL,It didn't pick on some obvious keywords. It also selected quite a few non-relevant words that could apply to anything inside or outside the sports world which is pretty useless.,4,85892
COND_LEARN,FEEDBACK,The model was already relatively accurate(8/10 correct I think) so if it takes my feedback and improves then the quality should not get worse.,6,16103
x,x,I believe that it picks up hockey stuff quicker than baseball.,5,47163
x,"LOW_QUAL, NEEDS_FEEDBACK",The highlighted words many times had nothing to do with making an accurate choice.,4,42454
WILL_LEARN,"HIGH_QUAL, MARGINAL_FEEDBACK",It was mostly accurate already and the feedback I provided was only marginal at best. But it should help it decide between hockey or baseball even better.,5,80949
x,x,"It seems to do alright, but I am not sure it would do better",4,55594
WILL_LEARN,FEEDBACK,I gave it better rules so it should do a little better.,5,83789
x,HIGH_QUAL,"Because on the first set they were right 90 percent of the time,so the next go round I expect them to be reliable but not perfect.",4,31219
x,x,They seemed the same to me,4,59909
WILL_NOT_LEARN,x,I assume that the model will perform roughly the same for  the next set set of trials as I don't have any reason to assume it will get better or worse.,4,87641
WILL_LEARN,"HIGH_QUAL, MODEL_ADAPTS",it seems to do a good job overall so I think it would learn more,5,30410
WILL_NOT_LEARN,x,Because I don't think it will improve nor get worse,4,47721
COND_LEARN,"HIGH_QUAL, FEEDBACK",I answered the questions correctly and it seemed pretty correct the first time. I assume it'll get better if its coded right.,6,22136
WILL_LEARN,MARGINAL_FEEDBACK,i dont think enough inputs were given to improve its accuracy.,4,71853
WILL_LEARN,FEEDBACK,It's supposed to improve based on feedback.,5,76870
x,HIGH_QUAL,"Based on what I have observed so far, the AI is bang on correct 90% of the time. It's able to pick up specific sport terms easily.",4,54223
x,HIGH_QUAL,"It got most of them right, might have only missed one.",7,20614
WILL_LEARN,MODEL_ADAPTS,I think it should make some improvements.,5,51390
WILL_LEARN,"HIGH_QUAL, MARGINAL_FEEDBACK","It was only wrong in the practice round one single time, so  I feel like I don't have much to teach it, it's already very good",5,47171
x,"HIGH_QUAL, NEEDS_FEEDBACK",I think the model will do about the same that it has done I think it did pretty good considering but needs some updates to make it better. I don't know if it learns and gets better with time.,4,92329
WILL_NOT_LEARN,x,"The model got more than half correct, so I think it will do about the same in the next set of emails.",5,56511
x,HIGH_QUAL,"The model performed very well on the first set of the 10 emails. There is room for slight improvement, but the model has done a fine job so far.",5,69485
COND_LEARN,FEEDBACK,It will hopefully use some of the words I highlighted to better determine baseball vs hockey,5,40681
x,HIGH_QUAL,"The model was correct 90% of the time, kinda hard to improve on that.",4,68690
WILL_LEARN,"FEEDBACK, MARGINAL_FEEDBACK","There were some incorrect predictions which I indicated correctly, so I believe the model will improve slightly.  However, it is not always picking the best words and I don't believe that will be totally corrected with the limited number of emails I reviewed.",5,13529
COND_LEARN,"HIGH_QUAL, MODEL_ADAPTS",The model only made one mistake in the previous emails. If it corrects for what it did wrong it should be perfect.,6,10843
WILL_LEARN,BAD_FEEDBACK,"There were a couple I wasn't sure of, so it might learn from bad advice.",3,21252
WILL_NOT_LEARN,x,"The model hasn't changed, so it should perform the same.",4,10540
WILL_LEARN,FEEDBACK,I think I was able to help the model learn which keywords to look for to help it decide which sport is being discussed.,6,25843
x,HIGH_QUAL,The machine did a good job of evaluating the first set based on the highlighted words.,4,39888
COND_LEARN,FEEDBACK,My words may have helped fix the model a bit,5,26474
WILL_LEARN,FEEDBACK,It has better information on what keywords are relevant to hockey vs. baseball.,5,50033
WILL_LEARN,FEEDBACK,I think my feedback will help the model more accurately know if the email is talking about hockey or baseball. I think certain keywords I selected will really help.,6,54123
WILL_NOT_LEARN,x,I see no reason to think it would do better or worse than it already has. It all depends on how many keywords specific to each sport are in the emails.,4,64481
WILL_NOT_LEARN,x,The model should work in a similar manner. I don't see any reason that it will do significantly better or worse as long as the email are similar to the practice ones.,4,35840
x,x,It didn't seem to learn that well. It looked for a few keywords and decided based on that.,4,21215
WILL_NOT_LEARN,x,About the same because the emails that the model answered incorrectly were tricky and didn't give any obvious indication on what sport they were referring to.,4,73169
WILL_LEARN,"FEEDBACK, HIGH_QUAL",It was pretty accurate and it has had feedback to make it better.,5,62305
WILL_LEARN,FEEDBACK,I think my feedback will help the model perform better on the next set of emails.,6,29292
x,x,I understand both baseball and hockey. I lean baseball.,6,99046
WILL_NOT_LEARN,x,I don't see any reason to believe its performance will improve or worsen based on the information I have.,4,92624
x,HIGH_QUAL,i feel like the model was about 80% accurate in these 10 cases. I am starting to think it has a list of team names to help it decide,4,41726
WILL_NOT_LEARN,x,"Not sure, it's kind of iffy depending on how the email is written. Would only do better if there were more indentifying words",4,63919
COND_LEARN,MODEL_ADAPTS,The machine may have learned from the previous run,5,44755
WILL_NOT_LEARN,HIGH_QUAL,Because some emails are hard to decide on. The ML did a good job on the last emails so I think it will be about the same.,4,17425
WILL_NOT_LEARN,HIGH_QUAL,I thought the model was fairly accurate in it's predictions and expect it to perform in a similar manner going forward.,4,80272
COND_LEARN,FEEDBACK,"If it is learning from input, then it should be able to work out a better way to categorize the baseball and hockey emails. Perhaps, it will find better words in some of the instances.",5,88817
WILL_NOT_LEARN,x,I don't think anything will change in these new e-mails that will change the behavior of the model,4,28188
WILL_NOT_LEARN,x,It mostly did really well.  There were only about two or three that were questionable.,6,26700
WILL_NOT_LEARN,x,I think it will do the same. It doesn't seem like a learning machine. It will make the same predictions.,4,68429
WILL_LEARN,"MARGINAL_FEEDBACK, HIGH_QUAL","The model predicted most of the emails correctly already. A small handful were either incorrect or unclear, so with my input I feel it would have improved the model slightly - but not a whole lot since there wasn't a large amount of incorrect answers from the model in the first place.",5,83801
WILL_LEARN,FEEDBACK,I think I was able to select enough specific words and team names to help the AI improve.,5,13725
WILL_LEARN,"HIGH_QUAL, FEEDBACK",The model seemed to be pretty decent at guessing correctly and I think with some extra data sets it'll get more accurate.,5,47450
WILL_LEARN,FEEDBACK,I feel like it has learned from my feedback and has improved.,7,83896
x,HIGH_QUAL,It seemed to do pretty well so far.,6,31744
WILL_LEARN,"MARGINAL_FEEDBACK, HIGH_QUAL",They chose good keywords the first time. My input should not impact that much.,4,60693
x,"NEEDS_FEEDBACK, HIGH_QUAL",The model is pretty good but the words it chooses are not ones I would think would give certainty as to the right choice. There are some words that are common to both sports; we'll see if it's good at differentiating.,4,69311
WILL_NOT_LEARN,NO_FEEDBACK,It has no new info really,4,90211
WILL_LEARN,FEEDBACK,I think feedback to the model helps it improve.,5,77066
WILL_NOT_LEARN,NEEDS_FEEDBACK,I would expect it to use a similar method. I don't think it can understand all the abbreviations of team names.,4,82104
WILL_NOT_LEARN,x,I don't see why it would change.,4,97596
WILL_LEARN,FEEDBACK,I think I found more defining words for it to consider when choosing.,7,62042
WILL_NOT_LEARN,x,I think it is the same model and will do equally as well. Its methods or algorithm hasn't changed as far as I know.,4,63700
x,HIGH_QUAL,I feel that the model did a good job of determining whether the email was about hockey or baseball based on the first set.,4,10758
x,HIGH_QUAL,It seems to have done pretty well,6,44611
x,"HIGH_QUAL, FEEDBACK",It seemed to recognize the emails well enough before my feedback,5,65155
COND_LEARN,MODEL_ADAPTS,I think it may choose more applicable words on the emails it got wrong.  IT is a machine though so it may just make the same mistakes.,5,27832
WILL_NOT_LEARN,HIGH_QUAL,The model pretty much predicted all the emails in the first set of emails so I expect the same in the second set.,4,64754
WILL_LEARN,"MARGINAL_FEEDBACK, HIGH_QUAL","It only got one or two wrong, so I don't think it has enough info to really change how it decides. It'd need more than 2 samples.",4,54755
COND_LEARN,"FEEDBACK, HIGH_QUAL","It did quite well to begin with, only getting one wrong.  There was another that was impossible to determine.  If it uses any of my data, which I added a few more keywords, it might do slightly better.",5,33771
WILL_NOT_LEARN,HIGH_QUAL,I think the model did very well at predicting before and did not need much improvement. I would expect the same performance as before.,4,27118
COND_LEARN,FEEDBACK,"If the model tries to learn anything from my input I believe it will guess slightly more correctly, but still probably make some mistakes.",5,13732
WILL_LEARN,FEEDBACK,Because they are able to get information from others during and interaction like the practice I just took in order to make better decisions,6,74915
WILL_LEARN,FEEDBACK,BECAUSE I TAUGHT IT A FEW OF ITS ERRORS,6,67356
WILL_LEARN,FEEDBACK,I think it would do slightly better because my feedback will improve the decisions it makes.,5,40337
x,NEEDS_FEEDBACK,"I feel like a lot of the words that the model chose as the most important didn't have anything to do with either sport. It was almost random whether the model was correct or not. Some of the highlighted words were sport related, but more fo them were not.",4,33869
WILL_NOT_LEARN,x,"I have no reason to believe the model will work any differently than it did on the first e-mails, so it should be about the same.  It probably consistently uses the same method to determine each e-mail, so it should deliver the same quality of results.",4,20030
WILL_LEARN,FEEDBACK,The model was fairly accurate and it just needs to learn a few more abbreviations and terms.  With the additional training I would expect it to become more reliable.,6,37365
x,x,seems right,5,37429
